Program,Year,Period,Commodity,Data Item,Domain,Value,CV (%)
SURVEY,2024,FIRST OF JAN,CATTLE,"CATTLE, HEIFERS, GE 500 LBS, BEEF REPLACEMENT - INVENTORY",TOTAL,"55,000",
SURVEY,2024,FIRST OF JAN,CATTLE,"CATTLE, HEIFERS, GE 500 LBS, MILK REPLACEMENT - INVENTORY",TOTAL,"500,000",
SURVEY,2024,FIRST OF JAN,CATTLE,"CATTLE, INCL CALVES - INVENTORY",TOTAL,"3,200,000",
SURVEY,2024,FIRST OF JAN,CATTLE,"CATTLE, INCL CALVES - INVENTORY, MEASURED IN $",TOTAL,"4,576,000,000",
SURVEY,2024,FIRST OF JAN,CATTLE,"CATTLE, INCL CALVES - INVENTORY, MEASURED IN $ / HEAD",TOTAL,"1,430",
SURVEY,2024,FIRST OF JAN,CATTLE,"CATTLE, ON FEED - INVENTORY",TOTAL,"220,000",
SURVEY,2024,FIRST OF JAN,CATTLE,"CATTLE, STEERS, GE 500 LBS - INVENTORY",TOTAL,"360,000",
SURVEY,2024,JAN,CATTLE,"CATTLE, COWS, MILK - PRICE RECEIVED, MEASURED IN $ / HEAD",TOTAL,"2,060",
SURVEY,2024,JUL,CATTLE,"CATTLE, COWS, MILK - PRICE RECEIVED, MEASURED IN $ / HEAD",TOTAL,"2,650",
SURVEY,2024,MARKETING YEAR,CATTLE,"CATTLE, COWS, MILK - PRICE RECEIVED, MEASURED IN $ / HEAD",TOTAL,"2,490",
SURVEY,2024,OCT,CATTLE,"CATTLE, COWS, MILK - PRICE RECEIVED, MEASURED IN $ / HEAD",TOTAL,"2,850",
SURVEY,2023,APR,CATTLE,"CATTLE, COWS, MILK - PRICE RECEIVED, MEASURED IN $ / HEAD",TOTAL,"1,840",
SURVEY,2023,FIRST OF JAN,CATTLE,"CATTLE, BULLS, GE 500 LBS - INVENTORY",TOTAL,"30,000",
SURVEY,2023,FIRST OF JAN,CATTLE,"CATTLE, CALVES - INVENTORY",TOTAL,"630,000",
SURVEY,2023,FIRST OF JAN,CATTLE,"CATTLE, COWS - INVENTORY",TOTAL,"1,550,000",
SURVEY,2023,FIRST OF JAN,CATTLE,"CATTLE, COWS, BEEF - INVENTORY",TOTAL,"280,000",
SURVEY,2023,FIRST OF JAN,CATTLE,"CATTLE, COWS, MILK - INVENTORY",TOTAL,"1,270,000",
SURVEY,2023,FIRST OF JAN,CATTLE,"CATTLE, HEIFERS, GE 500 LBS, (EXCL REPLACEMENT) - INVENTORY",TOTAL,"100,000",
SURVEY,2023,FIRST OF JAN,CATTLE,"CATTLE, HEIFERS, GE 500 LBS, BEEF REPLACEMENT - INVENTORY",TOTAL,"70,000",
SURVEY,2023,FIRST OF JAN,CATTLE,"CATTLE, HEIFERS, GE 500 LBS, MILK REPLACEMENT - INVENTORY",TOTAL,"580,000",
SURVEY,2023,FIRST OF JAN,CATTLE,"CATTLE, INCL CALVES - INVENTORY",TOTAL,"3,350,000",
SURVEY,2023,FIRST OF JAN,CATTLE,"CATTLE, INCL CALVES - INVENTORY, MEASURED IN $",TOTAL,"4,254,500,000",
SURVEY,2023,FIRST OF JAN,CATTLE,"CATTLE, INCL CALVES - INVENTORY, MEASURED IN $ / HEAD",TOTAL,"1,270",
SURVEY,2023,FIRST OF JAN,CATTLE,"CATTLE, ON FEED - INVENTORY",TOTAL,"240,000",
SURVEY,2023,FIRST OF JAN,CATTLE,"CATTLE, STEERS, GE 500 LBS - INVENTORY",TOTAL,"390,000",
SURVEY,2023,JAN,CATTLE,"CATTLE, COWS, MILK - PRICE RECEIVED, MEASURED IN $ / HEAD",TOTAL,"1,810",
SURVEY,2023,JUL,CATTLE,"CATTLE, COWS, MILK - PRICE RECEIVED, MEASURED IN $ / HEAD",TOTAL,"1,910",
SURVEY,2023,MARKETING YEAR,CATTLE,"CATTLE, COWS, MILK - PRICE RECEIVED, MEASURED IN $ / HEAD",TOTAL,"1,890",
SURVEY,2023,OCT,CATTLE,"CATTLE, COWS, MILK - PRICE RECEIVED, MEASURED IN $ / HEAD",TOTAL,"1,990",
SURVEY,2022,APR,CATTLE,"CATTLE, COWS, MILK - PRICE RECEIVED, MEASURED IN $ / HEAD",TOTAL,"1,710",
SURVEY,2022,FIRST OF JAN,CATTLE,"CATTLE, BULLS, GE 500 LBS - INVENTORY",TOTAL,"30,000",
SURVEY,2022,FIRST OF JAN,CATTLE,"CATTLE, CALVES - INVENTORY",TOTAL,"660,000",
SURVEY,2022,FIRST OF JAN,CATTLE,"CATTLE, COWS - INVENTORY",TOTAL,"1,570,000",
SURVEY,2022,FIRST OF JAN,CATTLE,"CATTLE, COWS, BEEF - INVENTORY",TOTAL,"295,000",
SURVEY,2022,FIRST OF JAN,CATTLE,"CATTLE, COWS, MILK - INVENTORY",TOTAL,"1,275,000",
SURVEY,2022,FIRST OF JAN,CATTLE,"CATTLE, HEIFERS, GE 500 LBS, (EXCL REPLACEMENT) - INVENTORY",TOTAL,"85,000",
SURVEY,2022,FIRST OF JAN,CATTLE,"CATTLE, HEIFERS, GE 500 LBS, BEEF REPLACEMENT - INVENTORY",TOTAL,"85,000",
SURVEY,2022,FIRST OF JAN,CATTLE,"CATTLE, HEIFERS, GE 500 LBS, MILK REPLACEMENT - INVENTORY",TOTAL,"620,000",
SURVEY,2022,FIRST OF JAN,CATTLE,"CATTLE, INCL CALVES - INVENTORY",TOTAL,"3,450,000",
SURVEY,2022,FIRST OF JAN,CATTLE,"CATTLE, INCL CALVES - INVENTORY, MEASURED IN $",TOTAL,"3,691,500,000",
SURVEY,2022,FIRST OF JAN,CATTLE,"CATTLE, INCL CALVES - INVENTORY, MEASURED IN $ / HEAD",TOTAL,"1,070",
SURVEY,2022,FIRST OF JAN,CATTLE,"CATTLE, ON FEED - INVENTORY",TOTAL,"270,000",
SURVEY,2022,FIRST OF JAN,CATTLE,"CATTLE, STEERS, GE 500 LBS - INVENTORY",TOTAL,"400,000",
SURVEY,2022,JAN,CATTLE,"CATTLE, COWS, MILK - PRICE RECEIVED, MEASURED IN $ / HEAD",TOTAL,"1,470",
SURVEY,2022,JUL,CATTLE,"CATTLE, COWS, MILK - PRICE RECEIVED, MEASURED IN $ / HEAD",TOTAL,"1,870",
SURVEY,2022,MARKETING YEAR,CATTLE,"CATTLE, COWS, MILK - PRICE RECEIVED, MEASURED IN $ / HEAD",TOTAL,"1,720",
SURVEY,2022,OCT,CATTLE,"CATTLE, COWS, MILK - PRICE RECEIVED, MEASURED IN $ / HEAD",TOTAL,"1,840",
SURVEY,2021,APR,CATTLE,"CATTLE, COWS, MILK - PRICE RECEIVED, MEASURED IN $ / HEAD",TOTAL,"1,490",
SURVEY,2021,FIRST OF JAN,CATTLE,"CATTLE, BULLS, GE 500 LBS - INVENTORY",TOTAL,"30,000",
SURVEY,2021,FIRST OF JAN,CATTLE,"CATTLE, CALVES - INVENTORY",TOTAL,"690,000",
SURVEY,2021,FIRST OF JAN,CATTLE,"CATTLE, COWS - INVENTORY",TOTAL,"1,550,000",
SURVEY,2021,FIRST OF JAN,CATTLE,"CATTLE, COWS, BEEF - INVENTORY",TOTAL,"290,000",
SURVEY,2021,FIRST OF JAN,CATTLE,"CATTLE, COWS, MILK - INVENTORY",TOTAL,"1,260,000",
SURVEY,2021,FIRST OF JAN,CATTLE,"CATTLE, HEIFERS, GE 500 LBS, (EXCL REPLACEMENT) - INVENTORY",TOTAL,"70,000",
SURVEY,2021,FIRST OF JAN,CATTLE,"CATTLE, HEIFERS, GE 500 LBS, BEEF REPLACEMENT - INVENTORY",TOTAL,"80,000",
SURVEY,2021,FIRST OF JAN,CATTLE,"CATTLE, HEIFERS, GE 500 LBS, MILK REPLACEMENT - INVENTORY",TOTAL,"620,000",
SURVEY,2021,FIRST OF JAN,CATTLE,"CATTLE, INCL CALVES - INVENTORY",TOTAL,"3,400,000",
SURVEY,2021,FIRST OF JAN,CATTLE,"CATTLE, INCL CALVES - INVENTORY, MEASURED IN $",TOTAL,"3,366,000,000",
SURVEY,2021,FIRST OF JAN,CATTLE,"CATTLE, INCL CALVES - INVENTORY, MEASURED IN $ / HEAD",TOTAL,990,
SURVEY,2021,FIRST OF JAN,CATTLE,"CATTLE, ON FEED - INVENTORY",TOTAL,"250,000",
SURVEY,2021,FIRST OF JAN,CATTLE,"CATTLE, STEERS, GE 500 LBS - INVENTORY",TOTAL,"360,000",
SURVEY,2021,JAN,CATTLE,"CATTLE, COWS, MILK - PRICE RECEIVED, MEASURED IN $ / HEAD",TOTAL,"1,470",
SURVEY,2021,JUL,CATTLE,"CATTLE, COWS, MILK - PRICE RECEIVED, MEASURED IN $ / HEAD",TOTAL,"1,480",
SURVEY,2021,MARKETING YEAR,CATTLE,"CATTLE, COWS, MILK - PRICE RECEIVED, MEASURED IN $ / HEAD",TOTAL,"1,470",
SURVEY,2021,OCT,CATTLE,"CATTLE, COWS, MILK - PRICE RECEIVED, MEASURED IN $ / HEAD",TOTAL,"1,450",
SURVEY,2020,APR,CATTLE,"CATTLE, COWS, MILK - PRICE RECEIVED, MEASURED IN $ / HEAD",TOTAL,"1,250",
SURVEY,2020,FIRST OF JAN,CATTLE,"CATTLE, BULLS, GE 500 LBS - INVENTORY",TOTAL,"30,000",
SURVEY,2020,FIRST OF JAN,CATTLE,"CATTLE, CALVES - INVENTORY",TOTAL,"680,000",
SURVEY,2020,FIRST OF JAN,CATTLE,"CATTLE, COWS - INVENTORY",TOTAL,"1,570,000",
SURVEY,2020,FIRST OF JAN,CATTLE,"CATTLE, COWS, BEEF - INVENTORY",TOTAL,"310,000",
SURVEY,2020,FIRST OF JAN,CATTLE,"CATTLE, COWS, MILK - INVENTORY",TOTAL,"1,260,000",
SURVEY,2020,FIRST OF JAN,CATTLE,"CATTLE, HEIFERS, GE 500 LBS, (EXCL REPLACEMENT) - INVENTORY",TOTAL,"60,000",
SURVEY,2020,FIRST OF JAN,CATTLE,"CATTLE, HEIFERS, GE 500 LBS, BEEF REPLACEMENT - INVENTORY",TOTAL,"90,000",
SURVEY,2020,FIRST OF JAN,CATTLE,"CATTLE, HEIFERS, GE 500 LBS, MILK REPLACEMENT - INVENTORY",TOTAL,"680,000",
SURVEY,2020,FIRST OF JAN,CATTLE,"CATTLE, INCL CALVES - INVENTORY",TOTAL,"3,450,000",
SURVEY,2020,FIRST OF JAN,CATTLE,"CATTLE, INCL CALVES - INVENTORY, MEASURED IN $",TOTAL,"3,208,500,000",
SURVEY,2020,FIRST OF JAN,CATTLE,"CATTLE, INCL CALVES - INVENTORY, MEASURED IN $ / HEAD",TOTAL,930,
SURVEY,2020,FIRST OF JAN,CATTLE,"CATTLE, ON FEED - INVENTORY",TOTAL,"240,000",
SURVEY,2020,FIRST OF JAN,CATTLE,"CATTLE, STEERS, GE 500 LBS - INVENTORY",TOTAL,"340,000",
SURVEY,2020,JAN,CATTLE,"CATTLE, COWS, MILK - PRICE RECEIVED, MEASURED IN $ / HEAD",TOTAL,"1,260",
SURVEY,2020,JUL,CATTLE,"CATTLE, COWS, MILK - PRICE RECEIVED, MEASURED IN $ / HEAD",TOTAL,"1,350",
SURVEY,2020,MARKETING YEAR,CATTLE,"CATTLE, COWS, MILK - PRICE RECEIVED, MEASURED IN $ / HEAD",TOTAL,"1,320",
SURVEY,2020,OCT,CATTLE,"CATTLE, COWS, MILK - PRICE RECEIVED, MEASURED IN $ / HEAD",TOTAL,"1,420",
SURVEY,2019,APR,CATTLE,"CATTLE, COWS, MILK - PRICE RECEIVED, MEASURED IN $ / HEAD",TOTAL,"1,130",
SURVEY,2019,FIRST OF JAN,CATTLE,"CATTLE, BULLS, GE 500 LBS - INVENTORY",TOTAL,"30,000",
SURVEY,2019,FIRST OF JAN,CATTLE,"CATTLE, CALVES - INVENTORY",TOTAL,"680,000",
SURVEY,2019,FIRST OF JAN,CATTLE,"CATTLE, COWS - INVENTORY",TOTAL,"1,560,000",
SURVEY,2019,FIRST OF JAN,CATTLE,"CATTLE, COWS, BEEF - INVENTORY",TOTAL,"290,000",
SURVEY,2019,FIRST OF JAN,CATTLE,"CATTLE, COWS, MILK - INVENTORY",TOTAL,"1,270,000",
SURVEY,2019,FIRST OF JAN,CATTLE,"CATTLE, HEIFERS, GE 500 LBS, (EXCL REPLACEMENT) - INVENTORY",TOTAL,"70,000",
SURVEY,2019,FIRST OF JAN,CATTLE,"CATTLE, HEIFERS, GE 500 LBS, BEEF REPLACEMENT - INVENTORY",TOTAL,"80,000",
SURVEY,2019,FIRST OF JAN,CATTLE,"CATTLE, HEIFERS, GE 500 LBS, MILK REPLACEMENT - INVENTORY",TOTAL,"670,000",
SURVEY,2019,FIRST OF JAN,CATTLE,"CATTLE, INCL CALVES - INVENTORY",TOTAL,"3,450,000",
SURVEY,2019,FIRST OF JAN,CATTLE,"CATTLE, INCL CALVES - INVENTORY, MEASURED IN $",TOTAL,"3,277,500,000",
SURVEY,2019,FIRST OF JAN,CATTLE,"CATTLE, INCL CALVES - INVENTORY, MEASURED IN $ / HEAD",TOTAL,950,
SURVEY,2019,FIRST OF JAN,CATTLE,"CATTLE, ON FEED - INVENTORY",TOTAL,"280,000",
SURVEY,2019,FIRST OF JAN,CATTLE,"CATTLE, STEERS, GE 500 LBS - INVENTORY",TOTAL,"360,000",
SURVEY,2019,JAN,CATTLE,"CATTLE, COWS, MILK - PRICE RECEIVED, MEASURED IN $ / HEAD",TOTAL,"1,120",
SURVEY,2019,JUL,CATTLE,"CATTLE, COWS, MILK - PRICE RECEIVED, MEASURED IN $ / HEAD",TOTAL,"1,210",
SURVEY,2019,MARKETING YEAR,CATTLE,"CATTLE, COWS, MILK - PRICE RECEIVED, MEASURED IN $ / HEAD",TOTAL,"1,180",
SURVEY,2019,OCT,CATTLE,"CATTLE, COWS, MILK - PRICE RECEIVED, MEASURED IN $ / HEAD",TOTAL,"1,270",
SURVEY,2018,APR,CATTLE,"CATTLE, COWS, MILK - PRICE RECEIVED, MEASURED IN $ / HEAD",TOTAL,"1,320",
SURVEY,2018,FIRST OF JAN,CATTLE,"CATTLE, BULLS, GE 500 LBS - INVENTORY",TOTAL,"30,000",
SURVEY,2018,FIRST OF JAN,CATTLE,"CATTLE, CALVES - INVENTORY",TOTAL,"700,000",
SURVEY,2018,FIRST OF JAN,CATTLE,"CATTLE, COWS - INVENTORY",TOTAL,"1,560,000",
SURVEY,2018,FIRST OF JAN,CATTLE,"CATTLE, COWS, BEEF - INVENTORY",TOTAL,"285,000",
SURVEY,2018,FIRST OF JAN,CATTLE,"CATTLE, COWS, MILK - INVENTORY",TOTAL,"1,275,000",
SURVEY,2018,FIRST OF JAN,CATTLE,"CATTLE, HEIFERS, GE 500 LBS, (EXCL REPLACEMENT) - INVENTORY",TOTAL,"50,000",
SURVEY,2018,FIRST OF JAN,CATTLE,"CATTLE, HEIFERS, GE 500 LBS, BEEF REPLACEMENT - INVENTORY",TOTAL,"80,000",
SURVEY,2018,FIRST OF JAN,CATTLE,"CATTLE, HEIFERS, GE 500 LBS, MILK REPLACEMENT - INVENTORY",TOTAL,"700,000",
SURVEY,2018,FIRST OF JAN,CATTLE,"CATTLE, INCL CALVES - INVENTORY",TOTAL,"3,500,000",
SURVEY,2018,FIRST OF JAN,CATTLE,"CATTLE, INCL CALVES - INVENTORY, MEASURED IN $",TOTAL,"3,990,000,000",
SURVEY,2018,FIRST OF JAN,CATTLE,"CATTLE, INCL CALVES - INVENTORY, MEASURED IN $ / HEAD",TOTAL,"1,140",
SURVEY,2018,FIRST OF JAN,CATTLE,"CATTLE, ON FEED - INVENTORY",TOTAL,"280,000",
SURVEY,2018,FIRST OF JAN,CATTLE,"CATTLE, STEERS, GE 500 LBS - INVENTORY",TOTAL,"380,000",
SURVEY,2018,JAN,CATTLE,"CATTLE, COWS, MILK - PRICE RECEIVED, MEASURED IN $ / HEAD",TOTAL,"1,470",
SURVEY,2018,JUL,CATTLE,"CATTLE, COWS, MILK - PRICE RECEIVED, MEASURED IN $ / HEAD",TOTAL,"1,250",
SURVEY,2018,MARKETING YEAR,CATTLE,"CATTLE, COWS, MILK - PRICE RECEIVED, MEASURED IN $ / HEAD",TOTAL,"1,310",
SURVEY,2018,OCT,CATTLE,"CATTLE, COWS, MILK - PRICE RECEIVED, MEASURED IN $ / HEAD",TOTAL,"1,180",
SURVEY,2017,APR,CATTLE,"CATTLE, COWS, MILK - PRICE RECEIVED, MEASURED IN $ / HEAD",TOTAL,"1,710",
SURVEY,2017,FIRST OF JAN,CATTLE,"CATTLE, BULLS, GE 500 LBS - INVENTORY",TOTAL,"30,000",
SURVEY,2017,FIRST OF JAN,CATTLE,"CATTLE, CALVES - INVENTORY",TOTAL,"710,000",
SURVEY,2017,FIRST OF JAN,CATTLE,"CATTLE, COWS - INVENTORY",TOTAL,"1,570,000",
SURVEY,2017,FIRST OF JAN,CATTLE,"CATTLE, COWS, BEEF - INVENTORY",TOTAL,"290,000",
SURVEY,2017,FIRST OF JAN,CATTLE,"CATTLE, COWS, MILK - INVENTORY",TOTAL,"1,280,000",
SURVEY,2017,FIRST OF JAN,CATTLE,"CATTLE, HEIFERS, GE 500 LBS, (EXCL REPLACEMENT) - INVENTORY",TOTAL,"50,000",
SURVEY,2017,FIRST OF JAN,CATTLE,"CATTLE, HEIFERS, GE 500 LBS, BEEF REPLACEMENT - INVENTORY",TOTAL,"80,000",
SURVEY,2017,FIRST OF JAN,CATTLE,"CATTLE, HEIFERS, GE 500 LBS, MILK REPLACEMENT - INVENTORY",TOTAL,"710,000",
SURVEY,2017,FIRST OF JAN,CATTLE,"CATTLE, INCL CALVES - INVENTORY",TOTAL,"3,550,000",
SURVEY,2017,FIRST OF JAN,CATTLE,"CATTLE, INCL CALVES - INVENTORY, MEASURED IN $",TOTAL,"4,402,000,000",
SURVEY,2017,FIRST OF JAN,CATTLE,"CATTLE, INCL CALVES - INVENTORY, MEASURED IN $ / HEAD",TOTAL,"1,240",
SURVEY,2017,FIRST OF JAN,CATTLE,"CATTLE, ON FEED - INVENTORY",TOTAL,"270,000",
SURVEY,2017,FIRST OF JAN,CATTLE,"CATTLE, STEERS, GE 500 LBS - INVENTORY",TOTAL,"400,000",
SURVEY,2017,JAN,CATTLE,"CATTLE, COWS, MILK - PRICE RECEIVED, MEASURED IN $ / HEAD",TOTAL,"1,730",
SURVEY,2017,JUL,CATTLE,"CATTLE, COWS, MILK - PRICE RECEIVED, MEASURED IN $ / HEAD",TOTAL,"1,650",
SURVEY,2017,MARKETING YEAR,CATTLE,"CATTLE, COWS, MILK - PRICE RECEIVED, MEASURED IN $ / HEAD",TOTAL,"1,680",
SURVEY,2017,OCT,CATTLE,"CATTLE, COWS, MILK - PRICE RECEIVED, MEASURED IN $ / HEAD",TOTAL,"1,610",
SURVEY,2016,APR,CATTLE,"CATTLE, COWS, MILK - PRICE RECEIVED, MEASURED IN $ / HEAD",TOTAL,"1,910",
SURVEY,2016,FIRST OF JAN,CATTLE,"CATTLE, BULLS, GE 500 LBS - INVENTORY",TOTAL,"30,000",
SURVEY,2016,FIRST OF JAN,CATTLE,"CATTLE, CALVES - INVENTORY",TOTAL,"680,000",
SURVEY,2016,FIRST OF JAN,CATTLE,"CATTLE, COWS - INVENTORY",TOTAL,"1,550,000",
SURVEY,2016,FIRST OF JAN,CATTLE,"CATTLE, COWS, BEEF - INVENTORY",TOTAL,"270,000",
SURVEY,2016,FIRST OF JAN,CATTLE,"CATTLE, COWS, MILK - INVENTORY",TOTAL,"1,280,000",
SURVEY,2016,FIRST OF JAN,CATTLE,"CATTLE, HEIFERS, GE 500 LBS, (EXCL REPLACEMENT) - INVENTORY",TOTAL,"45,000",
SURVEY,2016,FIRST OF JAN,CATTLE,"CATTLE, HEIFERS, GE 500 LBS, BEEF REPLACEMENT - INVENTORY",TOTAL,"80,000",
SURVEY,2016,FIRST OF JAN,CATTLE,"CATTLE, HEIFERS, GE 500 LBS, MILK REPLACEMENT - INVENTORY",TOTAL,"735,000",
SURVEY,2016,FIRST OF JAN,CATTLE,"CATTLE, INCL CALVES - INVENTORY",TOTAL,"3,500,000",
SURVEY,2016,FIRST OF JAN,CATTLE,"CATTLE, INCL CALVES - INVENTORY, MEASURED IN $",TOTAL,"4,970,000,000",
SURVEY,2016,FIRST OF JAN,CATTLE,"CATTLE, INCL CALVES - INVENTORY, MEASURED IN $ / HEAD",TOTAL,"1,420",
SURVEY,2016,FIRST OF JAN,CATTLE,"CATTLE, ON FEED - INVENTORY",TOTAL,"275,000",
SURVEY,2016,FIRST OF JAN,CATTLE,"CATTLE, STEERS, GE 500 LBS - INVENTORY",TOTAL,"380,000",
SURVEY,2016,JAN,CATTLE,"CATTLE, COWS, MILK - PRICE RECEIVED, MEASURED IN $ / HEAD",TOTAL,"1,910",
SURVEY,2016,JUL,CATTLE,"CATTLE, COWS, MILK - PRICE RECEIVED, MEASURED IN $ / HEAD",TOTAL,"1,820",
SURVEY,2016,MARKETING YEAR,CATTLE,"CATTLE, COWS, MILK - PRICE RECEIVED, MEASURED IN $ / HEAD",TOTAL,"1,850",
SURVEY,2016,OCT,CATTLE,"CATTLE, COWS, MILK - PRICE RECEIVED, MEASURED IN $ / HEAD",TOTAL,"1,760",
SURVEY,2015,APR,CATTLE,"CATTLE, COWS, MILK - PRICE RECEIVED, MEASURED IN $ / HEAD",TOTAL,"2,080",
SURVEY,2015,FIRST OF JAN,CATTLE,"CATTLE, BULLS, GE 500 LBS - INVENTORY",TOTAL,"35,000",
SURVEY,2015,FIRST OF JAN,CATTLE,"CATTLE, CALVES - INVENTORY",TOTAL,"690,000",
SURVEY,2015,FIRST OF JAN,CATTLE,"CATTLE, COWS - INVENTORY",TOTAL,"1,550,000",
SURVEY,2015,FIRST OF JAN,CATTLE,"CATTLE, COWS, BEEF - INVENTORY",TOTAL,"275,000",
SURVEY,2015,FIRST OF JAN,CATTLE,"CATTLE, COWS, MILK - INVENTORY",TOTAL,"1,275,000",
SURVEY,2015,FIRST OF JAN,CATTLE,"CATTLE, HEIFERS, GE 500 LBS, (EXCL REPLACEMENT) - INVENTORY",TOTAL,"45,000",
SURVEY,2015,FIRST OF JAN,CATTLE,"CATTLE, HEIFERS, GE 500 LBS, BEEF REPLACEMENT - INVENTORY",TOTAL,"75,000",
SURVEY,2015,FIRST OF JAN,CATTLE,"CATTLE, HEIFERS, GE 500 LBS, MILK REPLACEMENT - INVENTORY",TOTAL,"730,000",
SURVEY,2015,FIRST OF JAN,CATTLE,"CATTLE, INCL CALVES - INVENTORY",TOTAL,"3,500,000",
SURVEY,2015,FIRST OF JAN,CATTLE,"CATTLE, INCL CALVES - INVENTORY, MEASURED IN $",TOTAL,"5,705,000,000",
SURVEY,2015,FIRST OF JAN,CATTLE,"CATTLE, INCL CALVES - INVENTORY, MEASURED IN $ / HEAD",TOTAL,"1,630",
SURVEY,2015,FIRST OF JAN,CATTLE,"CATTLE, ON FEED - INVENTORY",TOTAL,"260,000",
SURVEY,2015,FIRST OF JAN,CATTLE,"CATTLE, STEERS, GE 500 LBS - INVENTORY",TOTAL,"375,000",
SURVEY,2015,JAN,CATTLE,"CATTLE, COWS, MILK - PRICE RECEIVED, MEASURED IN $ / HEAD",TOTAL,"2,160",
SURVEY,2015,JUL,CATTLE,"CATTLE, COWS, MILK - PRICE RECEIVED, MEASURED IN $ / HEAD",TOTAL,"2,090",
SURVEY,2015,MARKETING YEAR,CATTLE,"CATTLE, COWS, MILK - PRICE RECEIVED, MEASURED IN $ / HEAD",TOTAL,"2,100",
SURVEY,2015,OCT,CATTLE,"CATTLE, COWS, MILK - PRICE RECEIVED, MEASURED IN $ / HEAD",TOTAL,"2,050",
SURVEY,2014,APR,CATTLE,"CATTLE, COWS, MILK - PRICE RECEIVED, MEASURED IN $ / HEAD",TOTAL,"1,900",
SURVEY,2014,FIRST OF JAN,CATTLE,"CATTLE, BULLS, GE 500 LBS - INVENTORY",TOTAL,"30,000",
SURVEY,2014,FIRST OF JAN,CATTLE,"CATTLE, CALVES - INVENTORY",TOTAL,"650,000",
SURVEY,2014,FIRST OF JAN,CATTLE,"CATTLE, COWS - INVENTORY",TOTAL,"1,520,000",
SURVEY,2014,FIRST OF JAN,CATTLE,"CATTLE, COWS, BEEF - INVENTORY",TOTAL,"250,000",
SURVEY,2014,FIRST OF JAN,CATTLE,"CATTLE, COWS, MILK - INVENTORY",TOTAL,"1,270,000",
SURVEY,2014,FIRST OF JAN,CATTLE,"CATTLE, HEIFERS, GE 500 LBS, (EXCL REPLACEMENT) - INVENTORY",TOTAL,"70,000",
